App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body,Sentiment,Device,Language,OS Version,Reply URL,Topics,Custom Topics,Tags,Reply Text,Reply Date
Google Gemini,Google Play,com.google.android.apps.bard,8679844a-ace4-4487-95bd-854d25189522,English,,5,2026-03-26,chanchal kumar,,police gadi se aage wala video Bane jaega to Ham usmein se ho jaenge comedy photo save ladki wala seb,,,mixed,,English,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271492/reply,"[""Camera & Photos"", ""Video""]",[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,07f4b25d-0743-4939-882c-ac3414e982ff,English,,5,2026-03-26,Joythi Nagendra,,Good morning,,,positive,,English,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271493/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,571c74ea-a1f1-4fe0-a584-fed89b14fda2,Thai,,5,2026-03-26,nuttaporn meekeaw,,ยอดเยี่ยมมากค่ะ อยากรู้อะไรได้รู้ทันทีค่ะ,"",That's excellent! I got the answer to all my questions right away.,positive,,Thai,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271888/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,36edc2ba-364f-4483-86e3-e6742977ac47,English,,5,2026-03-26,leela kiladi,,oppo 5G,,,neutral,,English,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271494/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,50a0be03-5d9a-42e3-883d-73d33c050bee,Spanish,,2,2026-03-26,Jorge Iglesias,,"La estuve probando y es buena pero cuando no sabe responder a tu pregunta empieza a decir informacion equivocada, también probé si la buena información que decía era correcta diciéndole que esta en un error y gemini en vez de admitir que estaba seguro, me dio la razón cuándo yo no la tenía. Deberia arreglar eso, mucha gente puede hasta suspender exámenes por una mala información de su asistente confiable, aún así espero que mejore un montón esta app","","I've been testing it and it's good, but when it can't answer your question, it starts giving incorrect information. I also tested whether the correct information it provided was accurate by telling it it was wrong, and Gemini, instead of admitting it was sure, agreed with me when I was wrong. They should fix that; many people could even fail exams because of incorrect information from their trusted assistant. Even so, I hope this app improves a lot.",neutral,,Spanish,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271564/reply,"[""Bugs"", ""Security & Accounts""]",[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,92b16392-1cfa-47db-acba-9d74adb427f8,English,,5,2026-03-26,Muruganantham Muru,,super,,,positive,,English,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271495/reply,"[""Satisfied users""]",[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,6fc4003d-97cc-417c-983d-87781a2a15e4,Chinese (Simplified),,4,2026-03-26,Patrick Wan,,香港可以用了,"",It's usable in Hong Kong now.,positive,,Chinese (Traditional),,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700272037/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,bd497289-5bf3-4ab1-a4e6-dbb9de20b166,English,,5,2026-03-26,sumik Kumar,,good,,,positive,,English,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271496/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,7e92cd3c-f766-42b8-9568-7cde9e992f87,English,,4,2026-03-26,Kanhaiya Morajwal,,good experience,,,positive,,English,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271497/reply,"[""Design & UX""]",[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,b0c114ba-9d6f-4978-908c-68cf798fb2e7,Indonesian,,5,2026-03-26,Akmal munajat,,Poto bersama cewe cantik,"",Photo with a beautiful girl,positive,,Indonesian,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271716/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,a98c1ac4-aa07-4146-b166-dbc2225be696,Arabic,,5,2026-03-26,إسماعيل محمد,,افضل تطبيق ذكاء إصطناعي في العالم,"",The best artificial intelligence application in the world,positive,,Arabic,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271598/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,a391cdca-d262-447c-acac-6e29831738d3,English,,5,2026-03-26,Usha Devi,,Good Sometimes wrong answers but 👍👍👍 Many times it can glitch.,,,neutral,,English,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271498/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,ea1c64f4-e4e2-4b06-ac7c-cd549b25f0e9,Indonesian,,1,2026-03-26,_Sega,,ga bisa,"",Can not,negative,,Indonesian,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271717/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,5f8988e9-6403-432e-9e4c-fb823df88876,Thai,,5,2026-03-26,เอกชัย รักษา,,ดีมาก,"",Very good,positive,,Thai,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271889/reply,[],[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,e0acca45-ad5e-49b0-938f-4d837cf692eb,English,,4,2026-03-26,Then Mozhi,,english language pls,,,neutral,,English,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271499/reply,"[""Internationalization""]",[],[],,
Google Gemini,Google Play,com.google.android.apps.bard,af5daa40-b3d2-407c-9003-3c407bde5db4,English,,2,2026-03-26,maira lashi,,so good for everything,,,mixed,,English,,https://app.appbot.co/apps/3112436-google-gemini/reviews/3700271500/reply,[],[],[],,
